osm_id,highway,intersecti,turn,access,change,junction,surface,oneway,maxspeed,distance,angle,latitude,longitude,ID,Name,area_index
758689526,residential,,,,,,asphalt,yes,,50,215.2952913,22.27961295,114.1645008,107,"Central And Western
",1
249307699,tertiary,,,,,,concrete,yes,,50,195.2565747,22.28691742,114.1513793,108,"Central And Western
",1
31846860,motorway_link,,,,,,asphalt,yes,50,100,72.28144697,22.28909025,114.1417938,109,"Central And Western
",1
494467369,secondary,,,,,,concrete,yes,,100,253.9189354,22.28681639,114.1366743,110,"Central And Western
",1
864159548,residential,,,,,,asphalt,yes,,250,208.9898908,22.26922462,114.1617184,111,"Central And Western
",1
681882530,motorway,,,,,,asphalt,yes,80,950,40.79685385,22.29381526,114.1497773,112,"Central And Western
",1
89595475,secondary,,,,,,concrete,yes,,100,79.50764597,22.28318774,114.1276378,113,"Central And Western
",1
114669843,unclassified,,,,,,asphalt,yes,,0,324.6178103,22.282439,114.154973,114,"Central And Western
",1
59876182,tertiary,,,,,,asphalt,,,200,38.75005817,22.28343762,114.1446682,115,"Central And Western
",1
722959262,residential,,,,,,concrete,yes,,0,272.1139015,22.2861584,114.1423017,116,"Central And Western
",1
758445166,tertiary,,,,,,asphalt,,,150,268.0853716,22.28298382,114.1432372,117,"Central And Western
",1
156335534,residential,,,,,,asphalt,,,300,273.0748983,22.26620167,114.1537466,118,"Central And Western
",1
242113670,secondary,,,,,,asphalt,yes,,50,110.8673866,22.27965584,114.1622311,119,"Central And Western
",1
28069371,tertiary,,,,,,asphalt,yes,,150,92.84801183,22.27578124,114.1565789,120,"Central And Western
",1
681882530,motorway,,,,,,asphalt,yes,80,100,92.91815343,22.28931977,114.1442385,121,"Central And Western
",1
25608021,primary,,,,,,asphalt,yes,50,100,134.3462155,22.28334892,114.1578516,122,"Central And Western
",1
156335551,secondary,,,,no,,asphalt,,,100,151.2660183,22.27429186,114.1579601,123,"Central And Western
",1
492214623,unclassified,,,,,,asphalt,,,50,33.69262655,22.27232981,114.1477426,124,"Central And Western
",1
494515048,secondary,,,,,,asphalt,yes,,0,228.0525908,22.2780258,114.1609403,125,"Central And Western
",1
400764693,secondary,,,,,,asphalt,yes,,0,358.6357392,22.2876458,114.1506282,126,"Central And Western
",1
88377345,residential,,,,,,concrete,,,0,32.23384312,22.2762243,114.168168,127,"Central And Western
",1
185736993,tertiary,,,,,,asphalt,,,850,238.1798897,22.27283213,114.1226989,128,"Central And Western
",1
882502501,secondary,,,,,,asphalt,yes,,0,275.8036153,22.2799489,114.1606708,129,"Central And Western
",1
445174764,motorway_link,,,,,,asphalt,yes,50,400,117.138659,22.29023408,114.1418134,130,"Central And Western
",1
828935092,residential,,,,,,asphalt,,,300,179.6471304,22.27313531,114.1662698,131,"Central And Western
",1
712973666,secondary,,,,,,asphalt,,,50,31.12679167,22.27182123,114.127514,132,"Central And Western
",1
148461472,residential,,,,,,asphalt,,,0,299.2514071,22.2804356,114.1542641,133,"Central And Western
",1
858141975,residential,,,,,,concrete,,,50,319.3233676,22.28007593,114.1283061,134,"Central And Western
",1
156335531,unclassified,,,,,,asphalt,,,400,53.96648673,22.27051419,114.1548191,135,"Central And Western
",1
24210563,tertiary,,,,,,concrete,yes,,0,163.4228797,22.2868509,114.1365108,136,"Central And Western
",1
26585366,unclassified,,,,,,concrete,yes,,0,4.282221368,22.2875982,114.1472301,137,"Central And Western
",1
494505906,secondary,,,,,,concrete,yes,,0,249.3101739,22.2863182,114.1378721,138,"Central And Western
",1
232499459,primary,,,,,,asphalt,yes,50,0,226.6226147,22.2865652,114.1314853,139,"Central And Western
",1
245435901,secondary,,,,no,,asphalt,,,650,279.2457508,22.26647515,114.1587827,140,"Central And Western
",1
899616122,primary,,,,,,asphalt,yes,,50,28.44657733,22.2765209,114.1298939,141,"Central And Western
",1
863275806,motorway_link,,,,,,asphalt,yes,,0,129.4546783,22.286989,114.157835,142,"Central And Western
",1
89272643,motorway_link,,,,,,asphalt,yes,,0,229.5257632,22.2891603,114.1402635,143,"Central And Western
",1
26305444,residential,,,,,,asphalt,yes,,150,285.0429055,22.28922714,114.1484101,144,"Central And Western
",1
89063267,secondary,,,,no,,asphalt,,,0,107.2986105,22.277788,114.15421,145,"Central And Western
",1
32551371,primary,,,,,,asphalt,yes,50,0,122.5601188,22.2812491,114.1631344,146,"Central And Western
",1
124353610,tertiary,,,private,,,asphalt,yes,,50,14.76988811,22.2811731,114.1645406,147,"Central And Western
",1
32551382,primary,,,,,,asphalt,yes,50,0,125.5779661,22.2799884,114.1650026,148,"Central And Western
",1
245435901,secondary,,,,no,,asphalt,,,800,246.994042,22.26668072,114.1575176,149,"Central And Western
",1
148228848,residential,,,,,,asphalt,yes,,0,136.544564,22.2859999,114.1500279,150,"Central And Western
",1
284648294,secondary,,,,,,asphalt,yes,,0,77.59020453,22.2776678,114.1585659,151,"Central And Western
",1
783803774,secondary,,,,,,concrete,yes,,50,259.3721825,22.28266627,114.1286579,152,"Central And Western
",1
42198750,tertiary,,,,,,asphalt,yes,,0,273.0386298,22.2884052,114.1458586,153,"Central And Western
",1
899616072,primary,,,,,,asphalt,yes,,0,145.7023724,22.2738176,114.1300428,154,"Central And Western
",1
31854064,tertiary,,,,,,asphalt,yes,,50,77.87164941,22.28184355,114.1479578,155,"Central And Western
",1
89141443,primary,,,,,,asphalt,yes,,100,103.6135484,22.28708908,114.1532241,156,"Central And Western
",1
741594780,residential,,,,,,asphalt,yes,,0,34.14458733,22.2794686,114.1642983,157,"Central And Western
",1
918684217,secondary,,,,,,asphalt,yes,50,50,113.2130797,22.28299352,114.1630058,158,"Central And Western
",1
774940542,tertiary,,,,,,asphalt,,,0,160.4483532,22.27822,114.152247,159,"Central And Western
",1
245435901,secondary,,,,no,,asphalt,,,450,239.9262689,22.26683545,114.1605032,160,"Central And Western
",1
