FID,wall,building,sky,tree,road,sidewalk,earth,mountain,car,streetlight,grass,person,plant,fence,railing,bridge,signboard,van,windowpane,column,awning,bicycle,ashcan,pier,ceiling,water,minibike,chair,lake
2026,0.000254,0.042324,0.098277,0.44966000000000006,0.190477,0.0,0.110383,0.0,0.001285,0.0,0.031160000000000004,0.0,0.0,0.052785000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023395,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.037038999999999996,0.017894999999999998,0.007934,0.7088909999999999,0.060945000000000006,0.060188,0.031246,0.0,0.0,0.0,0.016069999999999997,0.0,0.042776999999999996,0.016367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.001715,0.0525,0.21816,0.212902,0.405762,0.038832,0.0,0.0,7.4e-05,0.0,0.0,0.0,0.0,0.000719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040656,0.0,0.0
2029,0.0,0.049867,0.076328,0.467812,0.193922,0.0,0.118781,0.0,0.0,0.0,0.002727,0.0,0.051226999999999995,0.014375,0.0,0.0,0.005152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.053887,0.278172,0.173457,0.21052300000000002,0.11698800000000001,0.0,0.0,0.023551,0.0018670000000000002,0.0,0.000539,0.087016,0.038547000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010117000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2031,0.028105,0.095074,0.219059,0.196258,0.19022999999999998,0.057828,0.0,0.0,0.046543,0.0012109999999999998,0.017102000000000003,0.000949,0.014191,0.13253900000000002,0.0,0.0,5.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.007879,0.016051,0.249656,0.279582,0.292594,0.033077999999999996,0.009559,0.0,0.069062,0.0,0.001227,0.0,0.030695,0.00016,0.0,0.0,0.010457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,0.019163999999999997,0.045844,0.330859,0.138059,0.32752,0.008789,0.013031000000000001,0.0,0.055715,0.000672,0.0024920000000000003,0.0,1.2e-05,0.033703,0.0,0.0,0.000117,0.0,0.0,0.0,0.001422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.007289,0.067254,0.508051,0.12432,0.006422,0.082324,0.0,0.0006450000000000001,0.0,0.141812,0.0,0.0,0.005679999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,0.0,0.127473,0.328086,0.027297000000000002,0.484562,0.007601999999999999,0.0,0.0,0.021961,1.6e-05,0.0,0.0,0.0,0.002254,0.0,0.0,0.000449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,0.0,0.0,0.998758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,0.018973,0.0,0.143176,0.41435900000000003,0.182477,0.0034409999999999996,0.046219,0.0,0.053413999999999996,0.0,0.086949,0.0,0.0,0.006875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,0.0,0.0,0.998758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,0.0,0.0,0.998758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.023633,0.14689100000000002,0.329203,0.10646900000000001,0.08455499999999999,0.002309,0.0,0.0,0.00866,0.00193,0.067445,0.096809,0.0,0.0034100000000000003,5.1e-05,0.0,0.035387,0.0,0.003965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.0,0.998758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.012469,0.382328,0.14823,0.049406,0.014461000000000002,0.0,0.0,0.0,0.000277,0.29130100000000003,0.0,0.090938,0.0058200000000000005,0.0,0.0,0.002652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000953,0.0,0.0,0.0
2043,0.049426,0.027601999999999998,0.33410500000000004,0.193254,0.347047,0.026452999999999997,7.8e-05,0.0,0.004957,0.003668,0.005027,0.0,0.0,0.001621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,0.0,0.077934,0.35243,0.10702,0.32950799999999997,0.069965,0.0,0.002391,0.002043,0.000117,0.000133,0.0,0.0033009999999999997,0.038745999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,0.006719,0.08647300000000001,0.329664,0.100668,0.34213699999999997,0.067656,0.0,0.0,0.003117,0.0,5.1e-05,0.0,0.0,0.05666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.032612999999999996,0.330883,0.14998,0.383297,0.014027000000000001,0.0,0.000344,0.045973,0.001477,0.008504000000000001,0.0,0.014394999999999998,0.0,0.0,0.0,0.017574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.104949,0.285902,0.114277,0.345758,0.00618,0.0,0.0,0.05492999999999999,0.0,0.054527,0.0,0.024051,0.000566,0.0,0.0,0.008859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.001152,0.02984,0.384191,0.084031,0.312102,0.012793,0.026074,0.0,0.14019500000000001,0.000766,0.0,0.0,0.0,0.0,0.0,0.0,0.0017579999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.102125,0.322727,0.09112100000000001,0.36543400000000004,0.000594,0.023555,0.0,0.052065999999999994,0.0005269999999999999,0.021613,0.0,0.0,0.020238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
