ID,Lng,Lat,angle,highway
1603.0,153.0360832039,-27.4291691311,279.6007379823478,secondary
1604.0,153.0356403373,-27.429102288299998,279.6007379823478,secondary
1605.0,153.0351956391,-27.4290460259,277.959994671728,secondary
1606.0,153.0347519023,-27.428983961300002,278.9464717792937,secondary
1607.0,153.0343082091,-27.428921635100004,278.9464717792937,secondary
1608.0,153.0315178,-27.4325054,282.60494024113115,tertiary
1609.0,153.031079468,-27.432417941399997,282.60494024113115,tertiary
1610.0,153.0306411835,-27.4323302958,282.97259360800996,tertiary
1611.0,153.0302034895,-27.4322403292,282.97259360800996,tertiary
1612.0,153.0297657954,-27.4321503625,282.97259360800996,tertiary
1613.0,153.02932810139998,-27.432060395700002,282.97259360800996,tertiary
1614.0,153.0290521029,-27.4317545802,330.3986374811375,tertiary
1615.0,153.0287573831,-27.4314698296,289.36916150407797,tertiary
1616.0,153.0283336472,-27.4313369121,289.36916150407797,tertiary
1617.0,153.0279099113,-27.4312039944,289.36916150407797,tertiary
1618.0,153.0276108879,-27.430925619299998,330.95215248776765,tertiary
1619.0,153.0272970907,-27.4306608252,293.8409743907825,tertiary
1620.0,153.0268691285,-27.4305492,270.0,tertiary
1621.0,153.0264240616,-27.430585829699996,258.61875284224516,tertiary
1622.0,153.0259837362,-27.4306649173,258.61875284224516,tertiary
1623.0,153.0256671499,-27.4304690196,336.659666347247,tertiary
1624.0,153.0254810344,-27.4301045102,332.3893430976069,tertiary
1625.0,153.02525340809999,-27.4297598783,325.2657240406338,tertiary
1626.0,153.024997491,-27.429430516799997,325.2657240406338,tertiary
1627.0,153.0247415739,-27.4291011544,325.2657240406338,tertiary
1628.0,153.0244856568,-27.428771791,325.2657240406338,tertiary
1629.0,153.0242342223,-27.428439723,326.6207077723915,tertiary
1630.0,153.0239795857,-27.4281097355,323.52137934824304,tertiary
1631.0,153.02373003649998,-27.4277765733,326.6023576929817,tertiary
1632.0,153.0383655,-27.4423362,211.1745000212262,motorway
1633.0,153.0381310499,-27.442677995500002,213.405804555415,motorway
1634.0,153.0378633464,-27.442998799699996,222.55487006290844,motorway
1635.0,153.0322069,-27.4553402,50.025173381226566,primary
1636.0,153.0325511015,-27.4550827796,50.025173381226566,primary
1637.0,153.0396002,-27.4401436,44.1412627337719,motorway
1638.0,153.0399130068,-27.4398560185,44.1412627337719,motorway
1639.0,153.0315551,-27.4578037,199.41038484697467,tertiary
1640.0,153.0313777258,-27.4581710008,199.3706818935477,tertiary
1641.0,153.0311683362,-27.458516580300003,227.15583091737398,tertiary
1642.0,153.0309624,-27.4573134,299.69477622296563,primary
1643.0,153.0305648566,-27.4571799211,255.85957606425808,primary
1644.0,153.0103201,-27.4318214,9.368393943231528,tertiary
1645.0,153.0103932147,-27.431425974,9.368393943231528,tertiary
1646.0,153.01046632930002,-27.4310305466,9.368393943231528,tertiary
1647.0,153.010542757,-27.4306356317,10.356405597100824,tertiary
1648.0,153.0106235024,-27.430241385100004,10.356405597100824,tertiary
1649.0,153.0106999882,-27.429846506799997,8.475679721794794,tertiary
1650.0,153.01076618940002,-27.429450105300003,8.475679721794794,tertiary
1651.0,153.0426276,-27.4455609,351.2723232754883,tertiary
1652.0,153.0425051704,-27.4451802602,328.73366526453094,tertiary
1653.0,153.0335118,-27.4599719,216.68615356095899,secondary
1654.0,153.0332326539,-27.460285264299998,222.26382566061062,secondary
1655.0,153.032930575,-27.4605817793,222.26382566061062,secondary
1656.0,153.0330263,-27.4592067,310.74395392501924,primary
1657.0,153.03268600299998,-27.458945190300003,310.74395392501924,primary
1658.0,153.0421429,-27.4453229,189.5476491212143,residential
1659.0,153.0420683992,-27.445718069699996,189.5476491212143,residential
1660.0,153.0419942019,-27.446113283200003,189.47050650706626,residential
1661.0,153.0419202975,-27.446508539099998,189.47050650706626,residential
1662.0,153.0343744,-27.4601254,315.71321553979647,primary
1663.0,153.0325154,-27.458651,41.3356655897684,primary
1664.0,153.0328120548,-27.4583501536,41.3356655897684,primary
1665.0,153.0115309,-27.4605401,2.9918907691613597,motorway
1666.0,153.0115543436,-27.460139980100003,2.9918907691613597,motorway
1667.0,153.0115973967,-27.4597413895,7.897564189081155,motorway
1668.0,153.01165911209998,-27.4593445208,7.897564189081155,motorway
1669.0,153.01172082739998,-27.4589476507,7.897564189081155,motorway
1670.0,153.0117768629,-27.4585501127,6.869801453556926,motorway
1671.0,153.0400119,-27.4397651,58.56934849117685,motorway
1672.0,153.0405724,-27.4463144,114.80500834586813,residential
1673.0,153.0407532766,-27.4466369109,189.44430917598285,residential
1674.0,153.0406795749,-27.447032195,189.44430917598285,residential
1675.0,153.0326942,-27.4608138,222.26660608662576,secondary
1676.0,153.0417205,-27.4497919,47.50982125638729,primary
1677.0,153.0420517058,-27.4495212381,47.50982125638729,primary
1678.0,153.0378556,-27.45341,43.81068744819554,primary
1679.0,153.0381665419,-27.4531208482,43.81068744819554,primary
1680.0,153.0384670482,-27.452823054499998,41.929815791383135,primary
1681.0,153.0387678389,-27.452525483400002,42.6116055698594,primary
1682.0,153.0390682584,-27.4522276602,40.96954787271973,primary
1683.0,153.039363325,-27.4519255573,41.284107669349694,primary
1684.0,153.0396584487,-27.4516235034,40.656176902262814,primary
1685.0,153.0399510831,-27.451319520300004,40.656176902262814,primary
1686.0,153.0402437324,-27.4510155477,40.66031213561768,primary
1687.0,153.0405818725,-27.4507524106,48.769890651792004,primary
1688.0,153.0462055,-27.441106,104.43088035235284,trunk
1689.0,153.0466404863,-27.4412058683,104.43088035235284,trunk
1690.0,153.0319448,-27.4619506,99.94959975768906,unclassified
1691.0,153.0318303,-27.4597745,7.483675684789626,secondary
1692.0,153.03190169,-27.459379339899996,14.694084391962075,secondary
1693.0,153.0321388618,-27.459043520500003,40.61353284362351,secondary
1694.0,153.042257,-27.4499451,106.6412328753083,tertiary
1695.0,153.04268734549998,-27.450059852800003,106.6412328753083,tertiary
1696.0,153.0419234,-27.4498469,108.26077858835268,tertiary
1697.0,153.032125,-27.4533588,312.7475722595676,unclassified
1698.0,153.0317951605,-27.4530868223,312.7475722595676,unclassified
1699.0,153.0314604341,-27.452819698200003,311.1078834001084,unclassified
1700.0,153.031122006,-27.4525562502,311.1078834001084,unclassified
1701.0,153.030784764,-27.452291598600002,311.56969746036725,unclassified
1702.0,153.03044872709998,-27.452025724499997,311.56969746036725,unclassified
1703.0,153.0414147,-27.4502902,215.8194279104284,primary
1704.0,153.04119476559998,-27.4506368278,200.54488984846645,primary
1705.0,153.0410758212,-27.4510231079,193.9938858532065,primary
1706.0,153.0409672067,-27.451411915300003,193.9938858532065,primary
1707.0,153.0408585921,-27.4518007213,193.9938858532065,primary
1708.0,153.0407406937,-27.4521872339,198.72120286680226,primary
1709.0,153.040579176,-27.4525607912,203.24555708973145,primary
1710.0,153.0336586,-27.453011,133.07766600971158,unclassified
1711.0,153.0339866776,-27.453284668600002,133.07766600971158,unclassified
1712.0,153.0333775,-27.4542798,312.22283278094795,unclassified
1713.0,153.0330448822,-27.454010530799998,312.22283278094795,unclassified
1714.0,153.0327122644,-27.453741260999998,312.22283278094795,unclassified
