FID,surface,oneway,maxspeed,angle,latitude,longitude,highway,Name,area_index,count_station,count_Airbnb,count_hotel,count_POI,count_elder,elder_beds,distance_cityCenter(m),distance_Metro(m),area_park(m²),rent_price(HK$),rent_price(￥),Ave_rent_price ($),Ave_rooms,Ave_SA (m²),travel_time(mins),sky,road,sidewalk,tree,plant,building,grass,wall,earth,fence
12823,asphalt,yes,0,353.513087,22.28017455,114.1744012,secondary,"Wan Chai
",13,132,107,49,890,8,568,1127.909571,325.587703,404592.1232,13000,1690,23059.6709,2.1392,53.665,6.767457427,0.123699,0.187039,0.023441,0.075199,0.000328,0.253633,0.017191,0,0.013855,0.000227
12864,asphalt,yes,0,225.7463406,22.2779422,114.1862269,secondary,"Wan Chai
",13,165,112,52,825,6,626,294.1290293,322.5297585,245689.3841,21500,2795,31905.6604,2.1132,63.1968,1.764774176,0.010555,0.163508,0.044738,0.030867,0,0.562363,0,0,0,0.001238
12868,asphalt,yes,0,353.177413,22.27647047,114.1744437,residential,"Wan Chai
",13,144,107,49,928,8,568,1207.136171,194.1766475,198082.8597,21214.28571,2757.857143,23034.5732,2.1401,53.6997,7.242817024,0,0.295414,0.052742,0.045492,0,0.583855,0,0,0,0
12894,0,yes,0,245.072531,22.2776216,114.1697603,tertiary,"Wan Chai
",13,149,30,45,740,7,554,1636.365745,330.2632065,221303.5745,21340.30573,2774.239745,21580.0537,2.094,50.8479,9.818194469,0.032531,0.401703,0.00868,0.001676,0,0.491766,0,0.001246,0,5.10E-05
12935,concrete,yes,0,337.0412488,22.2774165,114.1800049,secondary,"Wan Chai
",13,156,107,50,911,8,568,645.4127398,503.0490997,303297.7499,20000,2600,23030.6585,2.128,53.358,3.872476439,0.015676,0.148559,0.22152,0.031168,0,0.537625,0,0.001051,0,0.008785
12976,concrete,yes,0,101.5229328,22.2799265,114.1855432,secondary,"Wan Chai
",13,165,113,54,849,5,503,63.39315828,157.5541071,250489.9881,18800,2444,31905.6604,2.1132,63.1968,0.38035895,0.030207,0.248914,0.008199,0.000672,0,0.297867,0,0.00182,0,0
13000,asphalt,yes,0,178.2986307,22.2771726,114.1755643,tertiary_link,"Wan Chai
",13,147,107,50,935,8,568,1071.601768,271.3209627,390994.7867,10200,1326,23027.8491,2.1384,53.5489,6.429610608,0,0.221766,0.004637,0.043328,0,0.391551,0,0,0,0
13029,0,0,0,57.73484951,22.32494868,114.1868832,residential,"Kowloon City
",14,153,32,8,264,30,2404,1654.801015,1464.660976,516542.8672,62000,8060,23104.7904,2.2515,58.53,9.928806088,0.020242,0.256805,0.104676,0,0,0.56634,0,0.009719,0,0.026172
13081,asphalt,yes,0,92.804807,22.32773422,114.1799375,residential,"Kowloon City
",14,196,215,11,496,28,2142,1254.729795,1012.040139,596998.1257,35500,4615,23354.878,2.2805,58.8331,7.528378768,0.087238,0.299348,0,0.331512,0,0.002871,0,0,0.029684,0.05457
13104,0,0,0,322.1412461,22.317029,114.181965,residential,"Kowloon City
",14,211,328,27,694,25,2136,1037.209629,850.7487454,191665.2638,20562.25166,2673.092715,22942.4419,2.25,58.3706,6.223257775,0.041637,0.326227,0.017488,0.045996,0.014098,0.363633,0,0.053281,0,0.004641
13115,asphalt,yes,0,115.9235346,22.3191037,114.192958,residential,"Kowloon City
",14,112,19,6,246,17,1468,2145.716772,1446.34641,197831.0815,14500,1885,23000,2.2674,58.4996,12.87430063,0.184133,0.14225,0.053293,0.209887,0.005273,0.113207,0,0.012262,0.001398,0.006188
13135,concrete,yes,0,55.19313174,22.32772004,114.1895196,secondary,"Kowloon City
",14,146,32,7,284,21,1687,1612.694325,1083.506825,610695.2001,13300,1729,23250,2.2727,58.8794,9.676165951,0.229996,0.241508,0.001289,0,0,0.499832,0,0,0,0.009812
13160,asphalt,yes,0,40.43848817,22.3193447,114.1924396,secondary,"Kowloon City
",14,115,19,6,253,17,1468,2092.569874,1449.144323,363847.931,14500,1885,23026.8817,2.2688,58.5619,12.55541925,0.217082,0.329133,0.019918,0.014152,0,0.338871,0,0,0,0.039988
13253,asphalt,yes,0,259.1798041,22.31985153,114.1753288,residential,"Kowloon City
",14,205,470,40,819,27,2006,341.5155461,353.1295149,187103.3674,14500,1885,23039.4655,2.2586,57.8919,2.049093276,0.000379,0.15168,0.05166,0.085988,0.001355,0.591891,0,0,0,0
13308,paved,yes,0,159.5083402,22.31936968,114.1745489,residential,"Kowloon City
",14,201,472,44,835,28,1882,251.7404692,331.5840551,180089.4195,14500,1885,23164.5491,2.2543,58.2072,1.510442815,0.014391,0.002527,0.109586,0.006355,0,0.642082,0,0.023316,0,0.032566
13314,asphalt,0,50,124.9998333,22.3066369,114.1896261,residential,"Kowloon City
",14,89,8,14,263,10,926,2195.280746,187.0884408,153196.5875,20166.66667,2621.666667,22022.2222,2.2549,56.5336,13.17168447,0.034121,0.314707,0.08041,0.076422,4.00E-06,0.433512,0,0.01518,0,0.029848
13333,asphalt,yes,0,25.17110921,22.32431468,114.1885903,primary,"Kowloon City
",14,148,23,6,264,31,2467,1793.574974,1329.097862,471346.7903,16500,2145,23214.6893,2.2655,58.7766,10.76144984,0.197105,0.269215,0.056836,0.049934,0,0.284684,0,0,0,0.00707
13335,asphalt,yes,50,268.8426606,22.3150286,114.1775448,trunk_link,"Kowloon City
",14,220,624,49,970,27,2104,685.9737419,733.0993366,196226.6548,27600,3588,22926.1779,2.227,58.1368,4.115842451,0.07252,0.337711,0.066555,0.140613,0.02532,0.256129,0,0.005832,0,0.033012
13453,asphalt,yes,50,178.7933579,22.32669522,114.1784219,trunk_link,"Kowloon City
",14,213,282,13,668,32,2314,1067.334597,818.9339134,529096.0345,35000,4550,23314.1104,2.2761,58.7609,6.404007581,0.094367,0.234977,0,0,0.04991,0.499504,0,0.061227,0.00173,1.20E-05
13470,asphalt,0,0,161.8338301,22.3199666,114.1732154,residential,"Kowloon City
",14,207,481,41,856,36,2470,151.8866722,205.4003293,184358.172,17000,2210,22522.5767,2.2646,56.3911,0.911320033,0.035566,0.217711,0.054699,0.156457,0,0.309391,0,0.00057,0.003797,0.196371
13497,0,yes,0,159.6328517,22.31869822,114.1740589,residential,"Kowloon City
",14,200,485,45,864,31,2178,202.0411636,368.5109185,188042.5511,17000,2210,22938.7616,2.2442,57.5939,1.212246982,0,0.273492,0.045809,0,0,0.638992,0,0,0,0.000121
13514,0,0,0,304.3996912,22.3198541,114.1804658,residential,"Kowloon City
",14,225,407,26,764,25,2074,863.3957405,841.4946224,318402.4637,23866.66667,3102.666667,22895.679,2.2407,58.3098,5.180374443,0.082035,0.163688,0.083668,0.075531,0,0.429691,0,0.064668,0,0.098473
13525,asphalt,yes,50,183.3363748,22.32620153,114.1784747,trunk_link,"Kowloon City
",14,210,283,13,693,31,2322,1027.884217,787.3677892,509884.8214,27166.66667,3531.666667,23314.1104,2.2761,58.7609,6.167305304,0.14707,0.151375,0,0.005922,0.005637,0.44716,0,0.112363,0,0.080598
13602,asphalt,yes,50,213.780369,22.30443827,114.1880671,secondary,"Kowloon City
",14,86,14,22,326,5,464,2193.365297,176.4388762,152759.7674,21266.66667,2764.666667,21788,2.16,53.1479,13.16019178,0.054879,0.300297,0.007125,0.022184,0.010328,0.441461,0.049145,0.002875,0,0.021078
