FID,angle,latitude,longitude,wall,ceiling,road,earth,building,sky,tree,sidewalk,person,car,fence,railing,signboard,bridge,minibike,grass,mountain,skyscraper,streetlight,plant,van,column,windowpane,ashcan,awning,bicycle,fountain,water,sculpture,bulletin board,lamp,chair
14048,231.9122542,22.4048045,114.2072842,0.049566,0.023523,0.312254,0.034938,0.187059,0.217523,0.088324,0.003711,7.00E-05,0.025109,0.019988,0,0.003688,0.000395,0,0.031316,0,0,0.000781,0.000812,0,0,0,0,0,0,0,0,0,0,0,0
14049,218.5827156,22.36855967,114.1749912,0.048793,0.142484,0.350203,0.028055,0.022582,0.094016,0.210719,0.013211,0,0.007371,0.018809,0,0.000262,0,0,0.007699,0,0,0,0.035438,0,0.00973,0,0,0,0,0,0,0,0,0,0
14050,265.1168837,22.405012,114.2057609,0,0,0.314938,0.002887,0.010781,0.090816,0.418133,0.03882,0,0.050793,0.013406,0.014273,0.042582,0,0,0,0,0,0.000223,0,0,0,0,0,0,0,0,0,0,0,0,0
14051,1.985041264,22.4198192,114.214264,0.00473,0,0.326316,0.065703,0.003523,0.305938,0.149984,0.001973,0,2.00E-05,0.079328,0,0.001418,0,0,0.00157,0.000398,0,0,0.007547,0,0,0,0,0,0,0,0,0,0,0,0
14052,13.12581012,22.35899362,114.2102899,0.338332,0.365141,0.002211,0,0,0.004684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14053,298.3250799,22.4060473,114.2080419,0.000875,0,0.434211,0.000527,0,0.161547,0.317969,0.002648,0,0.014852,0.056945,0,0.007328,0,0,0.000406,0,0,0.000715,0,0,0,0,0,0,0,0,0,0,0,0,0
14054,39.84157688,22.42765256,114.2044655,0,0,0,0,0,0.998758,0,0,0,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14055,222.5707277,22.38808787,114.2075317,0,0,0.304207,0,0.13752,0.312344,0.04243,0.005637,0.001035,0.116848,0.019574,0,0.001703,0,0,0,0.002762,0.00273,0.001777,0.015707,0,0,0,0,0,0,0,0,0,0,0,0
14056,56.99126143,22.36205848,114.178249,0,0,0.258176,0.004375,0,0.209168,0.407066,0,0,0.110211,0.009871,0,0,0,0,0.000875,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0
14057,122.0672961,22.3831805,114.2145041,0.002867,0,0.317281,0.000855,0.192715,0.072316,0.208734,0.10518,0.003527,0,0.000805,0.047441,0,0,0,0.004637,0,0,0,0.043641,0,0,0,0,0,0,0,0,0,0,0,0
